Player,Recpt,Yd,Avg,TD,FL,FPTS
MarQueis Gray,0,6,9.0,0,0,0
Jason Witten,4,38,9.7,0,0,0
Geoff Swaim,0,3,11.0,0,0,0
Kyle Rudolph,4,37,9.0,0,0,0
Charles Clay,3,37,9.9,0,0,0
Delanie Walker,4,47,10.7,0,0,0
Neal Sterling,0,2,12.5,0,0,0
Vance McDonald,2,34,12.5,0,0,0
Antony Auclair,1,10,9.9,0,0,0
Ben Braunecker,0,0,8.7,0,0,0
Thomas Duarte,0,0,0.0,0,0,0
Antonio Gates,3,32,10.8,0,0,0
Tyler Higbee,1,16,12.0,0,0,0
Jared Cook,3,40,11.9,0,0,0
Cameron Brate,2,27,12.4,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Will Tye,0,0,0.0,0,0,0
George Kittle,2,30,11.3,0,0,0
Jimmy Graham,3,39,10.3,0,0,0
Eric Tomlinson,1,12,9.4,0,0,0
Rob Gronkowski,5,70,14.0,0,0,0
Jim Dray,0,3,10.3,0,0,0
Jack Doyle,4,55,11.5,0,0,0
Eric Saubert,0,2,12.5,0,0,0
Orson Charles,2,24,8.9,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Jeff Cumberland,0,0,0.0,0,0,0
Gavin Escobar,0,0,0.0,0,0,0
Vernon Davis,4,61,15.2,0,0,0
Josh Hill,2,26,10.0,0,0,0
Trey Burton,4,34,8.6,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Ryan Malleck,0,0,0.0,0,0,0
Evan Baylis,0,2,12.0,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,2,8.7,0,0,0
Maxx Williams,1,15,8.1,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,2,9.3,0,0,0
Jeremy Sprinkle,0,2,9.0,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Gerald Everett,2,21,10.7,0,0,0
Lance Kendricks,2,29,10.2,0,0,0
Lee Smith,0,2,8.7,0,0,0
Jermaine Gresham,1,18,9.6,0,0,0
Jacob Hollister,0,1,13.0,0,0,0
Jeff Heuerman,1,17,12.6,0,0,0
Tyler Kroft,3,31,10.0,0,0,0
Ricky Seals-Jones,2,29,14.0,0,0,0
Austin Traylor,1,21,12.2,0,0,0
Jesse James,3,30,8.7,0,0,0
Nick Vannett,1,10,10.1,0,0,0
David Morgan,0,2,8.7,0,0,0
Ed Dickson,1,25,14.0,0,0,0
Darrell Daniels,0,1,8.5,0,0,0
Niles Paul,2,28,11.3,0,0,0
Marcedes Lewis,1,22,12.2,0,0,0
Rhett Ellison,2,24,10.1,0,0,0
Virgil Green,1,23,12.5,0,0,0
James O'Shaughnessy,0,2,12.5,0,0,0
Ross Travis,1,14,11.2,0,0,0
Kyle Carter,0,0,0.0,0,0,0
Brandon Williams,0,3,12.3,0,0,0
Sean McGrath,0,2,12.5,0,0,0
Zach Ertz,2,25,9.5,0,0,0
Phillip Supernaw,0,1,8.0,0,0,0
Darren Fells,1,19,10.9,0,0,0
Ifeanyi Momah,0,2,24.0,0,0,0
Luke Willson,2,20,10.1,0,0,0
Anthony Fasano,2,18,9.1,0,0,0
A.J. Derby,1,12,10.3,0,0,0
Benjamin Watson,4,36,8.9,0,0,0
Randall Telfer,0,2,8.3,0,0,0
Jerell Adams,0,0,0.0,0,0,0
Chris Manhertz,0,2,8.3,0,0,0
Seth DeValve,2,30,12.8,0,0,0
Austin Hooper,3,35,11.0,0,0,0
Garrett Griffin,0,0,0.0,0,0,0
Clive Walford,0,5,10.0,0,0,0
Derek Carrier,0,2,11.0,0,0,0
Stephen Anderson,3,48,14.8,0,0,0
Nick O'Leary,1,22,13.2,0,0,0
Luke Stocker,0,1,6.0,0,0,0
Brent Celek,3,30,8.6,0,0,0
Jonnu Smith,1,15,9.5,0,0,0
Greg Olsen,4,58,12.1,0,0,0
Adam Shaheen,1,15,10.3,0,0,0
Logan Paulsen,0,0,9.0,0,0,0
David Njoku,2,28,12.2,0,0,0
Garrett Celek,2,26,13.3,0,0,0
Eric Ebron,3,45,11.6,0,0,0
Dion Sims,1,13,9.9,0,0,0
Logan Thomas,0,2,9.3,0,0,0
Daniel Brown,0,8,9.8,0,0,0
Troy Niklas,0,3,11.7,0,0,0
Ryan Hewitt,0,1,8.5,0,0,0
Dwayne Allen,0,7,11.0,0,0,0
Xavier Grimble,1,12,10.0,0,0,0
Nick Boyle,1,9,8.0,0,0,0
Michael Roberts,0,3,10.3,0,0,0
Khari Lee,0,1,8.5,0,0,0
Demetrius Harris,4,43,9.0,0,0,0
