Player,Recpt,Yd,Avg,TD,FL,FPTS
DeAndre Hopkins,5,82,14.3,0,0,11.6
Julio Jones,6,87,14.2,0,0,9.8
Doug Baldwin,6,70,11.8,0,0,9.4
Dez Bryant,4,60,13.8,0,0,9
Paul Richardson,3,59,17.4,0,0,8.6
Allen Hurns,5,64,12.6,0,0,8.4
Michael Crabtree,5,53,10.3,0,0,8
DeVante Parker,4,61,12.8,0,0,7.8
Amari Cooper,5,61,11.3,0,0,7.8
Michael Thomas,5,68,12.4,0,0,7.8
Larry Fitzgerald,5,64,11.1,0,0,7.6
Jarvis Landry,6,62,9.8,0,0,7.6
Golden Tate,6,66,10.9,0,0,7.4
Ted Ginn,3,58,16.3,0,0,7.2
Will Fuller,3,47,15.4,0,0,7
Jeremy Maclin,5,55,10.5,0,0,6.8
Sammy Watkins,3,50,14.4,0,0,6.8
Alshon Jeffery,4,57,11.7,0,0,6.8
Jermaine Kearse,4,50,12.3,0,0,6.8
Robby Anderson,3,52,13.5,0,0,6.8
Demaryius Thomas,5,60,12.1,0,0,6.8
Tyreek Hill,4,57,11.7,0,0,6.8
Marvin Jones,4,58,13.9,0,0,6.8
A.J. Green,4,57,11.6,0,0,6.6
Kenny Stills,2,42,14.7,0,0,6.4
Jordy Nelson,4,49,11.6,0,0,6.4
Devin Funchess,3,44,11.7,0,0,6.4
Brandon Coleman,2,41,15.8,0,0,6.4
Sterling Shepard,4,53,11.3,0,0,6.2
DeSean Jackson,3,56,16.2,0,0,6.2
Tyler Lockett,3,51,14.2,0,0,6.2
Mike Wallace,3,51,13.5,0,0,6.2
Emmanuel Sanders,4,56,11.8,0,0,6
T.Y. Hilton,4,58,14.3,0,0,6
Davante Adams,3,42,11.2,0,0,5.8
Donte Moncrief,3,41,13.5,0,0,5.8
Josh Doctson,3,39,13.0,0,0,5.4
Nelson Agholor,3,38,10.9,0,0,5.4
Marqise Lee,3,45,12.5,0,0,5.2
Mohamed Sanu,4,42,10.6,0,0,5.2
Terrance Williams,3,46,14.1,0,0,5.2
Ryan Grant,4,45,10.3,0,0,5.2
John Brown,3,47,14.7,0,0,5.2
Jordan Matthews,3,46,12.7,0,0,5.2
Adam Humphries,3,41,10.8,0,0,5
Cooper Kupp,3,38,13.0,0,0,4.8
Terrelle Pryor,3,41,12.8,0,0,4.6
Marquise Goodwin,2,47,16.5,0,0,4.6
Robert Woods,3,41,12.7,0,0,4.4
Taylor Gabriel,2,31,12.0,0,0,4.2
Eric Decker,2,33,11.8,0,0,4.2
Randall Cobb,4,38,9.5,0,0,4.2
Rishard Matthews,2,37,14.3,0,0,4.2
Torrey Smith,2,33,12.7,0,0,4.2
Demarcus Robinson,3,37,11.1,0,0,4.2
Corey Davis,2,36,13.0,0,0,4.2
Russell Shepard,2,36,13.1,0,0,4.2
J.J. Nelson,2,38,17.6,0,0,4
Andre Holmes,1,20,12.9,0,0,3.8
Jaron Brown,2,39,15.3,0,0,3.6
Chris Godwin,2,31,13.7,0,0,3.6
T.J. Jones,2,38,15.4,0,0,3.6
J.D. McKissic,1,13,10.6,0,0,3.6
Chris Moore,2,21,10.0,0,0,3.2
Aldrick Robinson,2,28,13.0,0,0,3.2
Justin Hardy,1,24,13.0,0,0,3.2
Cole Beasley,2,27,10.7,0,0,3.2
Mack Hollins,1,24,12.8,0,0,3.2
Seth Roberts,2,26,10.7,0,0,3.2
Taywan Taylor,1,21,16.8,0,0,3.2
De'Anthony Thomas,1,21,11.4,0,0,3.2
Trent Taylor,2,24,8.3,0,0,2.8
Tavon Austin,1,16,8.5,0,0,2.8
Cordarrelle Patterson,1,17,9.1,0,0,2.6
Roger Lewis,2,29,11.3,0,0,2.6
Kamar Aiken,2,27,12.5,0,0,2.6
Curtis Samuel,1,24,13.0,0,0,2.6
Zay Jones,2,27,13.0,0,0,2.6
Tommylee Lewis,1,25,13.4,0,0,2.6
ArDarius Stewart,1,23,12.8,0,0,2.6
Bennie Fowler,2,26,11.2,0,0,2.6
Brandon LaFell,2,25,8.7,0,0,2.6
Bruce Ellington,2,26,12.8,0,0,2.4
Willie Snead,1,26,14.4,0,0,2.4
Brandon Tate,1,15,12.8,0,0,2.2
Breshad Perriman,1,15,10.1,0,0,1.6
Josh Malone,1,14,11.2,0,0,1.6
Keelan Cole,1,15,12.6,0,0,1.6
Brice Butler,0,19,24.4,0,0,1.6
Geronimo Allison,1,18,14.4,0,0,1.6
Pharoh Cooper,1,17,13.8,0,0,1.4
Alex Erickson,1,15,11.1,0,0,1.2
Chester Rogers,0,11,12.4,0,0,1
Marvin Hall,0,4,16.3,0,0,0.6
Braxton Miller,0,2,5.7,0,0,0.6
Mekale McKay,0,0,0.0,0,0,0
Travis Rudolph,0,2,11.0,0,0,0
Kaelin Clay,0,3,17.0,0,0,0
Josh Reynolds,0,2,14.5,0,0,0
Brian Quick,0,8,13.8,0,0,0
Amara Darboh,0,4,14.7,0,0,0
Tavarres King,0,1,9.5,0,0,0
Max McCaffrey,0,4,12.2,0,0,0
Jared Abbrederis,0,4,14.0,0,0,0
Jehu Chesson,0,3,10.3,0,0,0
Kalif Raymond,0,0,0.0,0,0,0
Trevor Davis,0,2,10.0,0,0,0
Cody Latimer,0,3,10.0,0,0,0
Ryan Switzer,0,2,10.5,0,0,0
Jaydon Mickens,0,0,0.0,0,0,0
Damore'ea Stringfellow,0,0,0.0,0,0,0
Andre Roberts,0,4,13.3,0,0,0
Ed Eagan,0,3,10.3,0,0,0
Vince Mayle,0,0,7.9,0,0,0
Andy Jones,0,0,0.0,0,0,0
Mike Thomas,0,0,0.0,0,0,0
Jeff Janis,0,1,18.0,0,0,0
Johnny Holton,0,2,29.0,0,0,0
Brittan Golden,0,2,11.0,0,0,0
Tanner McEvoy,0,4,42.0,0,0,0
Corey Brown,0,0,0.0,0,0,0
Jordan Taylor,0,2,12.0,0,0,0
Deonte Thompson,0,8,14.8,0,0,0
Griff Whalen,0,0,0.0,0,0,0
Rashawn Scott,0,0,0.0,0,0,0
